,cleaned_body,compound_score,pos_score,neu_score,neg_score
67,edelweiss air good seating comfort soft seat cushion sufficient legroom great pillow blanket good quality great ife system adjustable headrest seat usb port seat,0.9477,0.465,0.535,0.0
68,seat position window seat comfortable seat good space tv screen bit far,0.7351,0.383,0.617,0.0
69,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
70,ridiculous space leg slim woman huuuge issue amount space take long get aircraft people literally squeeze make everyone angry flight every little movement passenger front felt like chair snap fall chair cheap actually believe amount space allowed give never gonna fly,-0.5106,0.054,0.821,0.125
71,air serbia introduced new recaro seat across airbus fleet great improvement previous old seat seat pitch give enough space cm color nice inline air serbia interior image corporate color,0.872,0.276,0.724,0.0
72,economy class seat standard short flight almost known low cost company high hard nap flight stay comfy seat width fine slim customer little bigger start hard,-0.2075,0.063,0.774,0.163
73,travelled jet tenerife dec returned th january first impression boarding aircraft smart looked red grey seat seated row ab seated noticed legroom ok however ft inch partner ft inch broad build seat designed create optical illusion moor space reducing thickness seat together reducing armrest size table size back seat looked like made tin unfinished old russian plane glass holder handy put class table small put meal box seat hard flight elbow room eat food comfortable,0.91,0.189,0.795,0.017
74,leg room decent padding great seat ok hour flight travel much pocket back seat storing item drink holder good plastic cup airline provides seat cold window blind shut cold draught,0.7579,0.243,0.686,0.071
75,always extra legroom seat flying couple hour going east midland tenerife row fine could fully stretch leg comfortable coming back tenerife east midland row dividing board front fully extend leg foot inch tall paid extra legroom exit seat issue sure two classed extra leg room interpretation could fully extend leg front,0.8641,0.202,0.798,0.0
76,complaint flight boarding seat space etc cross seat allocated return flight seat row child travelling u checked changed seat row fabulous fact single seat given website terrible especially child u even give u could child obviously seat left happy way single someone moved allow u child thank lady moved,0.7351,0.206,0.699,0.095
77,complaint jet use seating policy virtually force passenger pay seating wife travelling italy way allocated seat row opposite aisle way back wife seated row happened u using airline including budget airline like easyjet ryanair bmi baby contacted jet complain option thay gave pay,-0.4588,0.053,0.787,0.16
78,jet boeing plus point plenty legroom seat recline cup holder minus point seat hard flight le hour much problem,-0.4767,0.0,0.806,0.194
79,hand baggage palma east midland pre assigned window seat boarding seems much longer maybe priority boarding supplement would help check advised window seat reassigned keep family together issue ended exit row seat plenty room,0.7096,0.156,0.844,0.0
80,seat recline uncomfortable entertainment,0.0516,0.378,0.27,0.351
81,newcastle palma boeing seat front row seat give leg room could entertainment catering bad price seat could cushion foam got hard hot two hour overall mid score right return old boeing engine fault meant three hour delay aircraft year old sat seat window okay leg room seat lacked seat cushion padding staff flight good,-0.3182,0.118,0.729,0.153
82,spent hour flight bodrum manchester uncomfortable seat ever hard plastic recline limited leg room never ever,-0.5994,0.0,0.688,0.312
83,hainan airline employ long haul economy product like airline eva cathay pacific headrest movable quite comfortable however seat poorly padded little uncomfortable legroom recline decent seat little narrow people like spacious feeling lack storage space weirdly positioned charging dock downside seating product,0.3151,0.191,0.643,0.166
84,economy class seat bad like arrangement entertainment feature great big complaint passenger sitting front refused put seat meal service thus unable eat meal flight attendant told company policy disturb anyone sleeping even meal service make sense made part trip uncomfortable,-0.4215,0.172,0.586,0.242
85,distance seat front good comfortable long time air fresh feel good besides eye mask etc considerable luggage room big enough general everything good,0.9231,0.443,0.557,0.0
86,seat arrangement boeing id expect seat width would enough long distance trip especially cabin full hainan airline provided good ptv screen resolution high enough response fast seat recline okay legroom enough people smaller cm little difficult window seat people move,0.3804,0.109,0.841,0.05
87,chengdu boston via beijing courteous friendly crew comfortable seat large leg room food good lot tv program many newly released movie choose toilet clean throughout flight airplane new although domestic flight took ctu pek little old connection problem audio jack flight attendant worked really hard,0.9056,0.268,0.661,0.072
88,hainan airline best airline ever went everything clean especially bathroom food great bit le would rate star first five star airline went thought entertainment exceptional big selection game show movie,0.9333,0.351,0.649,0.0
89,comfortable seat tv screen clear several movie western chinese toilet cleaned regularly seat pitch inch minus seat adjusted,0.7096,0.269,0.731,0.0
90,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
91,comparing flight amsterdam bound another airline csa flight prague bound csa flight better avoid ticket part long haul flight prague usa,0.1779,0.12,0.788,0.091
92,ostrava prague atr aircraft seat bad legroom width good aircraft overbooked could put luggage overhead think good,0.3182,0.249,0.601,0.15
93,lot place leg cm really reason fly company issue hygiene good crew speaks fluently dutch english try help question,0.6808,0.248,0.752,0.0
94,hanoi minh boeing new airline expect much service love generous cabin crew enjoyed sandwich price cheap,0.8957,0.454,0.546,0.0
95,buon thuat vinh aircraft hired bamboo airway seat seat leg room okay short flight seat without personal entertainment reclining good width good nothing complain,0.7564,0.315,0.61,0.075
96,boeing seat almost low cost airline comfortable enough especially forward seat emergency exit seat,-0.0953,0.174,0.58,0.246
97,kupang surabaya return lion air boeing check smooth ground staff polite enough flight departed approximately minute late due long queue surabaya airport late passenger kupang flight arrived time cabin crew quite friendly helpful overall quite nice flight lion air compared previous,0.8646,0.203,0.797,0.0
98,nice comfy business class seat cabin staff attentive offered business seat upgrade check pleasant surprise since flight duration hr,0.802,0.339,0.661,0.0
99,boeing economy class seat comfortable plenty space leg entertainment system decent lot classic newly updated movie subtitle different language english chinese spanish french etc lavatory spotless unpleasant odor power outlet plug seat easy reach cabin crew polite considerate working plane smile variety drink including milk coffee tea various juice offered plane food better previous ua flight overall fantastic experience,0.9509,0.293,0.666,0.041
100,pretty standard able sleep comfortably economy seat seems recline enough person front limit space recline fair hour overnight flight economy thought could sleep relax quite well,0.9117,0.393,0.607,0.0
