,cleaned_body,compound_score,pos_score,neu_score,neg_score
1037,uncomfortable seat ever displeasure sitting three hour paid leg room nice rear hurt bad lack padding seat ability recline like sitting metal folding chair thin vinyl cushioning,-0.6369,0.193,0.508,0.299
1038,sat somewhat comfortable hour angeles hawaii however seat recline need learn sleep upright aircraft wall cold window seat bring sweater jacket,0.4601,0.131,0.869,0.0
1039,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
1040,finnair business class seat nice clean folded position bed could slightly longer quite tall tough good quilt pillow happy everything,0.8906,0.424,0.515,0.061
1041,regular seat head support aircraft old pretty good condition backrest position changing control bit old hard,0.8126,0.396,0.541,0.063
1042,probably best economy seat flown due plane abundant leg room good recline even width seems small issue design pull tray set low tv screen seems fixed angle problem person front fully reclined,0.5106,0.178,0.702,0.12
1043,finnair offer business class shifting curtain divider needed depending many seat needed business class middle seat left empty otherwise standard economy seat without ife big surprise encountered food beverage service small continental breakfast served yougurt prepacked fruit salad slice cheese slice smoked turkey cherry tomato together small selection bread course coffee tea usual bar assume big change earlier time least warm breakfast served newspaper board either terrible,-0.7491,0.0,0.883,0.117
1044,seat window seat overall standard seat short haul narrow body aircraft tray table coat hook mesh pocket slot safety card inflight literature standard personal air duct reading light combination head power outlet either full sized usb legroom generous cm high absolutely problem stretching leg foot floor finger gap knee next seat big thumb finnair seat pitch overall quite adequate short haul flight need worry enough power personal electronic device flight,0.34,0.105,0.821,0.074
1045,finnair economy class layout wider comfortable seat row new seat big ife screen convenience like cup holder however footrest new seat worst seat seat last middle row seat disturbed passenger waiting toilet bad breathe smell kitchen course get meal last avoid seat whenever,-0.765,0.105,0.67,0.225
1046,seat made light material make space legroom quite okay side space enough seat clean entertainment touchscreen enable change brightness outside camera view exploring map feature tracking flight status recent movie animation action family asian movie tv series music list get updated flying usb output power supply,0.8516,0.197,0.803,0.0
1047,aircraft oh lvk mostly used short flight legroom enough understand le tall people problem width touchscreen enable change brightness medium option movie music playlist outside camera view exploring map feature tracking flight status language jack output comfy seat clean,0.3818,0.12,0.818,0.061
1048,finnair embaer seat worse airbus seat already tested even low cost airline better seat situation worst finnair used airbus proposed meal drink tv board lugages included ticket none service exist would prefer flying low cost company like norwegian free wifi board tv screen,-0.4019,0.155,0.642,0.203
1049,helsinki singapore finnair paid extra economy plus seat extra leg room husband almost ft struggle get comfy seat behind partition separating business class economy husband knee touched partition unable stretch leg straight usaully normal seat disappointed seat sold extra leg room return journey passenger seat complained leg room air hostess said wasnt first time heard,-0.7115,0.031,0.84,0.129
1050,flew singapore helsinki least comfortable long haul flight ever taken chair insufficiently upholstered narrow arm rest insufficiently upholstered narrow aisle seat elbow repeatedly jogged folk walking aisle got pin needle cramped cm daughter joked pillow marimekko pillow slip flat little offer support choose finnair sure travel pillow ask several pillow blanket try prop arm provide lumbar support pretty fit person got several time stretch nerve damage cramped worry would affect le robust people asked glass water twice steward ignored daughter asked woken meal first time woken meal steward awoke chocolate wafer galley hung helping water pretty nice though,0.9125,0.213,0.695,0.092
1051,helsinki singapore flight hell light work movie really bad screen horrible seat flight cheap,-0.921,0.0,0.475,0.525
1052,london helsinki long flight miami terrible experience tall passenger tried book exit seat nearly cm tall succeeded got seat row plane full way get seat leg room knee locked front seat passenger sitting front seat reclined pain leg terrible move anywhere way put tray seat narrow even turn sideways help position,-0.6124,0.09,0.754,0.156
1053,foot inch tall flying finnair long haul flight ft contend cramp hard seat hour packed flight helsinki osaka toilet people economy class,-0.25,0.051,0.812,0.137
1054,bkk hel booked seat pay finnair charge seat reservation got seat found bulkhead recline cabin purser said always problem two seat recline fact seemed specially made seat recline button person front reclined seat made uncomfortable hour life,-0.6908,0.0,0.835,0.165
1055,seat economy uncomfortable even pitch bad something construction seat make impossible stretch leg,-0.7269,0.0,0.643,0.357
1056,route peking helsinki legroom poorest ever seen finnair airplane cm legroom totally impossible asian route new practice finnair,-0.5423,0.0,0.829,0.171
1057,new thin recaro seat much comfortable first looked leg room good even tallish guy like wide screen personal tv easy see use,0.891,0.392,0.608,0.0
1058,surprisingly roomy comfortable seat new aircraft good legroom enough space shoe bag well adjustable headrest give good support even leaning head side,0.9337,0.502,0.498,0.0
1059,absolutely shocking seat situation hour flight london sultan seat individual flight entertainment system tiny screen descended ceiling aghast air stewardess said app download watch movie pretty useless info air usb socket charge phone worse budget airline seat hard good headrest sleep entire journey,-0.5095,0.156,0.613,0.231
1060,avoid embraer economy seat horrible takeoff landing crouch like old lady thus making problem person like overweight unlucky get row back ache time land legroom average,-0.8176,0.133,0.507,0.36
1061,boeing leg room adequate worry medium haul flight like sq screen size good difficult neighbor see screen giving decent amount privacy configuration make easy access aisle exception window seat compared wide body airliner power socket available keep device charged cup holder present nice touch longer need worry drink spilling onto seat,0.6486,0.232,0.617,0.152
1062,boeing legroom fine seat feel narrow uncomfortable seat flew earlier much better sure would fly singapore airline boeing,0.5267,0.297,0.593,0.11
1063,flew singapore lax premium economy completely disappointed seat recline footrest alright narrow uncomfortable night food awful stale bun pasta shrimp salad dressing vegetable stewed beyond recognition service brusque point rude icecream tub almost thrown haste get service done quickly welcome drink request water forgotten past pleasure travelling premium economy air nz comparison know happened singapore airline supposed excellence service premium economy offering fairly price competitive albeit first leg australia offered economy however think make happen essentially providing economy level meal amenity pack poor service total shock lost,-0.7501,0.131,0.67,0.198
1064,boeing leg room sufficient lead good recline pretty good cup holder broken put pocket front seat,0.7096,0.373,0.498,0.129
1065,booked extra leg room seat flight singapore melbourne sleep seat aisle kept move leg staff go kitchen people get toilet book seat matter cabin block majority leg room plane feel super cramped old extra leg room seat actually extra leg room seat walkway book,0.2732,0.102,0.838,0.059
1066,best flight ever taken leg room fantastic staff layout plane make feel spacious genuinely easiest hour ever plane issue seat recline far,0.891,0.358,0.642,0.0
1067,worst premium economy price waste money treated like economy passenger food service access toilet seat recline far leg rest barely supported leg uncomfortable experience tv screen large good thing,-0.4271,0.187,0.58,0.233
1068,singapore airline version economy seat comfortable seat touchscreen controller small touchscreen well seat feature comfortable legrest adjustable headrest many seatback compartment pocket convenient storing small thing well cup holder tray table large practical even mirror nice touch legroom excellent recline sufficient many airline switching configuration boeing good singapore airline still retains configuration,0.9595,0.31,0.69,0.0
1069,torture anybody cm height worst eco trip ever new eco seat sq economy absolutely terrible seat pitch low cost budget carrier bearable hour definetely medium longhaul absolutely legspace narrow seat sat thats stadard seat additional legroom seat surcharge fine legspace wise even narrower tray fold armrest compartment take space weird seating position screen folded seat protrudes really disappointing idea sq came seat design seems groundstaff cabin crew feedback common complaint fly eco tall wide side suggest carrier definitely last sq eco flight,-0.9229,0.076,0.717,0.208
1070,normally problem airline configuring boeing configuration however singapore airline managed screw big time seat become narrow qatar airway thai airway nippon others configured configuration seat width plane wide enough shoulder hence comfortable flight padding hard yet seat thick seat base quite small may sometimes fall seat remote tv screen responsive except incident thing understand camera tv screen seat function good legroom fine seat set bad taste future flight singapore airline hope improve future change seat entirely two hour flight bangkok imagine would like red eye flight japan,0.8689,0.181,0.732,0.087
1071,flight hkg sg wife best flying experience ever happened celebrating wedding anniversary flight crew upper deck incredible warm welcome entering aircraft personalized greeting seat crew made u feel incredibly comfortable booked seat incredibly comfortable upright lounging position seat full flat position turn double bed although hour day time flight fun able lay next wife ife system great monitor large resolution great noise cancelling head phone worked well pretty comfortable took advantage book cook item lunch ribeye steak lobster thermidor delicious lunch talking flight attendant anniversary came conversation minute later group flight attendant seat gave u couple singapore air teddy bear glass champagne carrying ukulele knew hawaii proceeded sing happy anniversary song u incredible surprise treat like send heart felt thanks flight attendant,0.996,0.396,0.593,0.011
1072,singapore airline made big mistake business class traveller like seat new narrow almost feeling claustrophobia say uncomfortable understatement seat narrow storage essentially back recline move recline back seat move whole seat forward pressing recline button essentially start lie flat position take whole seat forward rather back rest trip last year adelaide london ridiculous leg recline position actually considered cancelling return trip except fact managed change seat centre aisle bulkhead seat little better disaster,-0.7787,0.075,0.77,0.155
1073,seat last row window small cabin well positioned seat comfortable tech feature great ife choice food drink service started cabin drink portion small tea coffee nearest toilet meant walk cabin behind u toilet floor dirty wet,0.765,0.219,0.714,0.067
1074,premium economy singapore airline usually pleasant experience recent flight sq case specifically seat avoided seat must worst seat premium economy singapore airline firstly luggage space passenger seat board first limited luggage space passenger seated behind secondly passenger seat cabinet adjacent seat used cabin staff store various sundry item cabin staff access constantly throughout flight mean cabin staff interrupt passenger seat constantly throughout flight often stick bottom passenger,-0.7579,0.043,0.815,0.142
1075,flew sq sq shanghai brisbane via singapore february journey previous sq journey flown premium economy impressed design seat particularly comfortable leg room could ok ingenuity folding tray slotted seat often cause sort inconvenience passenger staff since stowed stow without awkwardness delay lid covering tray obvious lifting point slot button two button cover nothing cover seemed might pressed sort thigh leg support appeared wanted pressed retract nothing happened stuck half projected support rest flight point insertion head phone plug side behind passenger meal arrives tray extracted later retracted nice mix headphone cable tray table tray confused passenger prissy little pocket back seat front may need contain laptop ipad document gag free bottle water medication well well good luck sick bag kris world magazine kris flyer magazine emergency procedure card prior place floor make head phone cover amenity bag newspaper magazine profligate passenger may lack foresight bring try finding medication cabin light without disturbing sleeping neighbour turning overhead light darkness doubt paid million design maybe taken ominous black orange colour scheme world nature generally bode well,0.9452,0.191,0.703,0.105
1076,singapore airline generally amazing seat comfortable tv screen view generally good,0.875,0.556,0.444,0.0
1077,aircraft older aircraft many rating gone compared seat legroom better seat recline,0.4404,0.209,0.791,0.0
1078,comfy seat spacious legroom someone cm tall love cup holder foot rest vanity mirror tray table singapore airline really make best pay small detail entertain passenger need,0.8561,0.3,0.602,0.098
1079,attentive crew helpful friendly proactive drink mid flight meal service smooth though see many people complaining airline see problem though flight departed behind schedule blame believe mistake people love delay plane crew wanted go home time still provide menu card hot towel landing meal good inflight entertainment great amenity lavatory sufficient economy passenger received amenity pack sock toothbrush good airline still time favourite,0.9442,0.294,0.573,0.133
1080,outbound journey singapore airline business class came back premium economy difference could stark base spec premium economy offering appears paper similar many others disappointed comparing example virgin seat among uncomfortable ever sat making hour flight london singapore real test endurance put perspective economy seat singapore airline sister carrier silk air earlier connecting flight exceptionally comfortable use solid centre divider pair seat mean hemmed claim inch width think like achieving diagonal recline hard seat shallow flat meaning reclining start slide helped bizarre thigh support pop ridiculous footrest work together well seat need bucket shaped way comortable format would help achieve premium feel legroom deceptively similar economy disappointed given current price find upgrade business class lhr return additional rather certainly fly singapore airline premium economy instead look use business class save area trip,0.7233,0.138,0.764,0.098
1081,first time fly singapore munich wider seat wider tv monitor storage socket charging phone comfortable headrest ergonomic design body seem fit seat comfortably extra space,0.8225,0.281,0.719,0.0
1082,premium economy class seat uncomfortable narrow pitch long reclining inch untrue seat may best recline inch leg rest pop sufficient give support dedicated toilet premium economy staff economy class served premium economy well expect service getting,0.8555,0.263,0.68,0.057
1083,seat comfy reclined back far enough uncomfortable leg room good might bit uncomfortable way taller cushion top head lay loved bring neck pillow,0.5267,0.27,0.566,0.164
1084,row seat boeing aligned anymore prevents disturbing passenger aisle seat another passenger row section first airline experienced kind seat arrangement innovative,0.5106,0.272,0.609,0.118
1085,mumbai singapore excited able finally fly singapore airline time offered option upgrade airport price premium economy without hesitation found comfortable clean however felt cabin crew seemed minimum possible felt nothing offered economy passenger offered cabin credit arrived late connecting flight new boarding pas ready waiting,0.808,0.224,0.726,0.05
1086,seat width limited make hard put personal belonging seat seat much recline personal view overall still excellent airline nice cabin crew inflight entertainment,0.7906,0.304,0.588,0.108
1087,amsterdam singapore long traveling decided spend extra money chose book premium economy seat looking forward comfortable flight premium economy however disappointed seat extra comfortable comparing economy seat much leg room leg rest functional got food economy service nothing special worst attitude crew cranky friendly seen smile asked water ask twice got water stop singapore flew air new zealand premium economy suprised difference welcoming friendly crew offered u drink boarding seat comfortable food excellent pleasant flight past always happy fly singapore airline think good anymore book flight anymore wonder pay much extra money nothing special never,0.9824,0.304,0.607,0.088
1088,three class configuration aircraft sat economy cgk route popular route usually prefer back configuration last row back get get served first alight later yes would get bit noisy back hour trip good inflight entertainment bearable seat comfortable entertainment system depends airline type sq us really old route past entertainment system issue older plane lesser selection entertainment system resolution screen becomes clear,0.9712,0.326,0.652,0.022
1089,term seat pitch seat width singapore airline premium economy seat international carrier offer true premium economy product offer inch pitch inch width note seat sq inch narrower seat pro con pro stylish seat ample storage space seat leg rest footrest foot bar although leg rest limited use people tall ability pre select meal via book cook option legendary singapore airline service extensive ife selection large screen con seat recline somewhat limited dedicated lavatory cabin large armrest seems reduce seat width somewhat seat still comfortable glitch ife system would like think situation typical,0.8611,0.131,0.832,0.037
1090,cabin seat average mainly bit old however managed clean enough moreover compared previous flight seat flight wider bigger thus comfortable seat basket offer sufficient pocket phone book etc nice biggest issue flight entertainment system screen used finger touch overall movie outdated screen old thus pixel bad,0.7964,0.207,0.731,0.062
1091,dhaka singapore airbus seat pitch inch comfortable seat tv screen inch singapore shanghai boeing configuration space comfort economy class pessenger inch tv screen latest technology really great economy class seat,0.8805,0.274,0.726,0.0
1092,fabulous design lovely orange trim give modern feel good leg room good enough recline foot rest add overall comfort tray table arm rest tv screen quite large storage phone power outlet usb next tv screen price really reasonable seta pocket lot storage space noise canceling headphone offered fantastic,0.959,0.313,0.687,0.0
1093,seat clean spot stain seat could figure seat clean seat worn leg room reasonable asian like seat recline limited uncomfortable awkward angle seat could wider paid aisle space alright average flight entertainment jaded old hanged,0.4215,0.261,0.514,0.224
1094,standard economy class seat larger boeing operated airline aisle seat box entertainment system took half seat space happy reclining degree distance seat would recommend seat like aisle seat screen small old singapore airline aircraft,0.8885,0.277,0.723,0.0
1095,awful space compared boeing seat row electric box meaning le room foot bag putting bag seat tight squeeze seat recline far back economy meaning person front reclined fully could barely move ft could get anything bag seat front person front fully reclined politely asked person front could move seat bit got mouthful abuse moved elsewhere staff complained,-0.872,0.0,0.845,0.155
1096,spent extra money fly premium economy overall disappointed looked forward boeing used instead due le demand boeing way noisier seat good spacious compared airline good airline air new zealand premium economy service good expecting much star airline flight attendant friendly engage small talk could personal entertainment work properly entire flight rebooted several time still got jammed luggage never made final destination last flight domestic singapore airline blame sa sa blame singapore airline compensation luggage delayed day overall flight experience saved money flown economy instead would probably fly economy singapore airline found qantas air new zealand much better overall,0.91,0.191,0.714,0.095
1097,fairly happy newish singapore airline premium economy seat comfortable seat good recline offered footrest calf support thingy rise thing airline necessarily seat gripe state seat seemed dated holder magazine broken needed handled carefully magazine fall footrest extremely difficult pull although others seemed fine inflight entertainment system old given long since introduced new system hoping premium economy product complimentary bottle seat something noticed lufthansa overall comfortable seat flight lufthansa premium economy seat,0.9628,0.299,0.637,0.064
1098,amsterdam singapore seat excellent seat comfortable enough legspace flight smooth hour went without problem return flight seat flew hour longer bumpy flight least hour singapore pakistan bad weather strong headwind flight comfortable way singapore last hour noticed backpains lower back friendly behind put seat back aislespace seem wide,0.924,0.294,0.618,0.088
1099,seat comfortable cushion good pillow good blanket long however catering offering cocktail drink st meal felt bad singapore sling best signature drink singapore airline,0.8689,0.372,0.531,0.098
1100,frankfurt auckland via singapore sector window seat generally disappointed singapore airline premium economy seat better economy legroom okay recline great legrest added nothing lot personal space place put thing biggest disappointment food service everything served tray time food style quality general appearance exactly economy extra choice main course staff made extra effort around service glass wine served meal minute wait refill singapore airline premium economy feel slightly better economy premium economy relatively new offering sq feel playing catch compromise excellent business class seem keeping step,0.872,0.172,0.765,0.064
1101,flew syd nrt return respectively singapore airline premium economy seat comfortable nice width support screen good clear large watching ife dual pocket seat back nice big filled magazine empty jacket laptop however row basic pocket wall numerous pocket cubby hole surrounding seat device need seat armrest nice wide folding table inside meaning fighting neighbour leg rest seat recline made comfortable sleeping reading light shoulder seem like good idea reality shine brightly inadvertently row front narrow beam light making reading large newspaper chore row lacked overhead locker space partition wall block opening,0.9758,0.287,0.651,0.062
1102,seat comfortable seat near wing quiet area comfortably padded enough width average build cm tall good legroom could easily get seat even passenger front reclined usb charging station great easy use entertainment system headphone poor though sound recommend using subtitle really hear every word movie,0.9618,0.377,0.573,0.049
1103,old economy class seat singapore airline boeing fine seat comfortable hour flight good entertainment system krisworld however personal ife touchscreen good new installed newer boeing footrest major winner leg good flight,0.9607,0.459,0.541,0.0
1104,traveling london lhr singapore took minute get checked boarding took u minute cabin crew friendly polite although entertainment screen damaged work fortunately cabin crew member offered change seat flight full food amazing juice great turbulence terrible took u min get storm flight great,0.9186,0.31,0.586,0.103
1105,selected flight sydney singapore preference earlier later flight serviced boeing aircraft compare unfortunately flight booked co share partner virgin australia unable pre book seat confined lower deck middle aisle rear found seat cramped leg knee room width average flight entertainment little behind okay overall seat comfort average little spoken friend flown top deck good report review unable confirm think little better would go way fly unless top deck,0.9267,0.256,0.689,0.056
1106,little leg room hour flight food ok entertainment machine good service bit attitude overall poor experience business seat half empty offer upgrade check would happy pay avoid awful economy seat awful reclining seat person front stuck back seat,-0.4404,0.211,0.49,0.299
1107,old boeing christchurch singapore leg withdrawn service well past use date boeing singapore amsterdam barcelona distinct improvement would hesitation using airline subjected poor facility old stock,-0.0258,0.158,0.681,0.161
1108,singapore airline seat narrow leg space quite inadequate even short person like found seat older boeing leg room wider lot comfortable know downsizing seat width leg room resulting new premium economy seat installed aircraft service cabin staff excellent would travel selected flight future depending aircraft type would use singapore airline economy,0.7584,0.16,0.79,0.05
1109,nice seat able move cushion back forth backrest see power outlet usb need however ipod function work hoped picked random song phone airplay,0.6597,0.205,0.795,0.0
1110,cabin bit worn singapore airline currently retrofitting flight wrong plane soon introduce premium economy route sydney getting retrofitted plane safe bet route starting middle august,-0.34,0.096,0.728,0.175
1111,angeles tokyo legroom footrest really comfortable dinner pork chop best airline food tv many selection music movie show much service excellent,0.9099,0.39,0.61,0.0
1112,large leg room nd deck even personal side compartment passenger store personal belonging comfortable seat neck support ample room move every awhile,0.7184,0.231,0.769,0.0
1113,love singapore airline however flown twice melbourne understand old aircraft route standard seating entertainment plane look shabby flying singapore different story newer aircraft completely different flying experience saying singapore airline service fabulous lot class product wish flew newer aircraft melbourne people recline seat economy,0.9201,0.247,0.753,0.0
1114,hkg flight great amount legroom good ife fantastic seat great comfortable could recline decently service could better looked tired overall great airline fly,0.9723,0.583,0.35,0.068
1115,singapore surabaya seat comfortable seat well cushioned enough leg room tall people entertainment good latest movie good flight map information provided,0.9186,0.467,0.533,0.0
1116,leather headrest wing comfortable indeed excellent amount space overhead locker good seat pitch folding tray table designed cleverly drawback lack touchscreen functionality vod required using handset whose button begun lose responsiveness overall great economy class seat,0.9231,0.337,0.565,0.097
1117,access aisle accessible flight entertainment would make,0.4215,0.318,0.682,0.0
1118,seat least legroom ever experienced clearly designed short people seat tv good size control confusing need touch screen,0.5719,0.249,0.667,0.084
1119,seat comfortable seat well cushioned enough leg room tall people flight tokyo lax temperature high japanese wide selection ptv catering good good japanese bento inflight meal,0.8807,0.337,0.663,0.0
1120,must smallest economy seat sky better one budget airline uncomfortable narrow enough leg room thing going size monitor,0.0772,0.135,0.744,0.121
1121,economy class comfortable seat quite satisfactory leg room recline angle need improvement seat must recline comfort long haul flight seems missing,0.8553,0.389,0.537,0.074
1122,seat uncomfortable seem padding really hard back trouble week trip london singapore singapore london head rest uncomfortable travelled march better number passenger saying thing apart plane felt spacious service wonderful,-0.2398,0.194,0.564,0.242
1123,economy seat even surcharged premium seat fitted thin cushion save weight ok short flight hour comfortable hour long haul,0.8271,0.352,0.648,0.0
1124,singapore male seat quite comfortable wide space entertainment excellent latest movie music keep track flight information food good good malaysia airline attitude crew serve meal excellent,0.9617,0.495,0.505,0.0
1125,first planning flying sq would suggest get early book upper deck seat cabin much quieter main deck making easier sleep etc long trip aircraft appeared new seating economy class comfortable expected seat feeling somewhat smaller cramped cozy older generation seat sq fly singapore manila entertainment system food customer service however excellent sq flight rather small asian framed person think would quite difficult ft european travel long distance sq economy class doubt carrier would offer anything better without pay business class term seat width legroom access seat felt better jetstar fly melbourne singapore would probably sq next business trip asia given competitive pricing moment sq least cheaper philippine airline travelling phil changi airport always pleasure use mentioned customer service sq good aircraft,0.969,0.207,0.756,0.037
1126,pleasantly surprised level comfort cattle class seating travelling wife fortunate enough row seat leg flight allowed u deal comfort factored review score based overall comfort single seat comfortable quiet aircraft service cabin staff exceptional food good however entertainment selection onboard perhaps varied expected,0.9698,0.425,0.575,0.0
1127,put downstairs cabin real cattle class person front reclined seat eating tray hit stomach big person screen close eye gave headache le hour getting real challenge even though aisle seat room stand upright even close upright angle support weight arm disappointed,-0.0258,0.089,0.843,0.069
1128,get best plane single worst uncomfortable seat ever sure thinking next holiday going qatar airway simply comfort factor,0.6124,0.385,0.395,0.22
1129,frankfurt singapore return hard seat upper deck poor recline uncomfortable impossible sleep,-0.7269,0.0,0.559,0.441
1130,singapore airline split family despite booking several month advance round trip heathrow singapore plane quiet food quite good thought seating poor obviously designed thought westerner tall full bodied seat legroom worse airline service cabin crew clinical without smile time future use singapore airline,-0.627,0.063,0.772,0.165
1131,got last seat plane furthest back avoid seat cost seat recline conclusion unless first business class go somewhere else pay premium company fact provide extra service experience,-0.3818,0.0,0.874,0.126
1132,similar earlier comment seat really hard unlike sq normally flew advantage flying notice le noise cabin mood lighting great set red orange led time seat upper deck le seat le people think always better choose seat seated last two row nearby toilet might really pleasant due smell,0.8979,0.224,0.746,0.03
1133,new sq seat hard fly regularly paris leg economy hour rear numb get let blood flow seat hard extremely limited incline backrest allows back rest technically still sitting position hard hour journey understand sq could gotten part wrong,-0.8357,0.0,0.729,0.271
1134,akl economy class seat nice square shaped meaning narrow like new singapore airline economy class leg room better lumbar support think older economy class much better new,0.9153,0.385,0.615,0.0
1135,fell far short standard expected singapore airline two week later knee still ache,-0.3818,0.0,0.822,0.178
1136,prebook seat row use toilet frequently due medical condition always find seat solid yet uncomfortable plenty luggage storage seat accessibility easy egress seat easy service second none,0.5859,0.224,0.697,0.079
1137,small find width seat quite uncomfortable recline seat child seated behind seat front reclined space even restricted stepping seat proved challenging help fly unfortunately kind aircraft sq fly taipei route,-0.0498,0.194,0.606,0.199
1138,old product find seat small compared newer sq like arm rest fold managed lie flat seat,0.3612,0.143,0.857,0.0
1139,padding thin needed use pillow lumbar support combination slide forward recline good compromise limit intruding someone space reclining seat wish would stuck inch pitch found extra two inch really make difference,0.743,0.223,0.724,0.054
1140,flight attendant kind food good seat like sitting rock extremely cramped found extremely difficult sleep flight small stature even felt cramped flight pillow blanket scratchy boeing slightly better ever go economy flight pillow create blood flow use pillow jacket head going try sleep flight,0.8662,0.249,0.7,0.051
1141,cramped narrow hard seat made even constricted avod remote side armrest hour mel flight wife uncomfortable resorted sitting pillow remainder flight awkward get flight due tight seat pitch,-0.5574,0.0,0.817,0.183
1142,pps solitaire member fly extensively world class say service declined within last year find new economy seat incredibly hard uncomfortable poor pitch lousy legroom long journey far prefer old seat sq heat cabin comfortably seem offer food route month month month far popular longer get choice seat better value money,-0.1368,0.169,0.653,0.178
1143,reason giving seat fair rating least good expected kid could gone preferred seat low extra prepared lot sideway sitting stretching plus sq experience compensated legroom shortage though,0.0243,0.194,0.616,0.191
1144,upper deck paid extra book seat front good limited small locker usually filled blanket equipment overhead storage either place cabin bag locker back making difficult retrieve inflight landing hope crew place crew cupboard bulkhead area happy window seat side storage bin significantly seat next bulkhead section baby bassinet located screaming baby leg may advisable go similar seat back may people milling around waiting toilet,0.5423,0.128,0.779,0.094
1145,seat last row window found seat comfortable width padding seat behind put seat back time without worrying others behind bulkhead section nearby house galley toilet noise tends noticeable meal service time last row abreast person get past getting seat tend prefer window longhaul broad upper body always tend get bumped passersby aisle,0.6526,0.096,0.904,0.0
1146,lhr return upper deck seat preferred seat need booked advance website charge sector well worth extra front emergency exit intrude side think actually better exit seat back upper deck came stood front u either flight whereas back people milled around waiting toilet toilet next seat business class curtained came look window seat ok outward journey felt quite hard somewhat uncomfortable towards return flight probably already sat hour hard seat flight felt quite hot way back although several people blanket jumper may discover fresh air vent around emergency exit improved matter considerably worth looking noticably quieter food service excellent avod woulld certainly choose airline aircraft seat future possible,0.8871,0.188,0.724,0.089
1147,economy class seat extremely hard almost unbearably long haul flight based hardness seat alone would fly aircraft paid extra charge front upper deck economy cabin waste money aircraft window aligned seat side storage storage making inconvenient store item landing footrest advantage easier get seat service great singapore airline hard seat awful,-0.3991,0.138,0.651,0.211
1148,footrest make hard stretch foot underneath seat front bar underneath seat front making hard get leg comfortable,0.3612,0.164,0.697,0.139
1149,akl chc plane new zealand type seat pitch good problem hardness seat ridge running accross padding thin back probably old compressed pulled seat cushion look pneumatic cushion front seat change thigh support via small button front left seat cushion operating valve similar pneumatic lumbar support problem firstly hardness seat secondly junction foam pneumatic cushion caused ridge cut upper thigh overall result uncomfortable seat flight full avod system nice service good good food seat would put flying good staying overnight changi excellent minute aircraft arriving gate checking airport fantastic incredibly cheap food food court level future try fly believe seat,0.9517,0.22,0.698,0.082
1150,mel mel service found aircraft cabin clean spacious service standard good first sector main deck seat window next seat upper deck window seat well designed ergonomic however seat cushion extremely hard probably worst experienced longhaul flight two hour pain stand seat foot rest almost useless tall person front fully reclined almost impossible get without people beside getting upper deck seating configuration economy generally much pleasant typical cabin,-0.2177,0.134,0.721,0.145
1151,economy class seat look elegant useful adjustable head rest seat pitch reclining generous economy however seat width could inch two bigger padding lower back definitely lacked acceptable seat,0.9022,0.371,0.571,0.057
1152,flight class miserable experience hour seat pitch impossible tall person like,-0.1779,0.17,0.612,0.218
1153,mel didnt realise configuration aircraft would choose window seat getting walk use restroom difficult time impossible really liked footrest seat reclined slid forward slightly trapped window seat person front fully reclined truly horrible experience,-0.4765,0.14,0.65,0.21
1154,back section aircraft space get smaller seating aisle seat section little leg room would recommend seat people small stature new seat comfortable old one,0.7003,0.209,0.791,0.0
1155,upper deck economy seating good seat next window generous storage area next window seat found seat uncomfortable hour due little lumbar support ended sore back seat back felt hard recline good economy seat,0.7203,0.262,0.591,0.148
1156,economy class hr singapore johannesburg uncomfortable seat experienced year flying long haul seat nightmare flight beyond hour,-0.3818,0.0,0.86,0.14
1157,seat pitch width satisfactory seat reclines slightly back seat cushion move forward fully reclined excellent angle movable avod screen large enough see clearly aircraft installed footrest seat use tall avod system marvellous many selection programme application screen resolution high,0.8473,0.203,0.797,0.0
1158,sat positive window seat large locker window seat meaning get flight laptop book ipod etc seat share power socket meaning could watch video laptop whole trip resting laptop lid locker meant laptop could still open ate meal negative ended sore shin slept slid forward shin resting footrest tried using footrest found high comfortable probably little better foot,0.6712,0.17,0.74,0.09
1159,seat extra room seat wall airplane seat layout last two row,0.0,0.0,1.0,0.0
1160,seat flight lhr lot legroom beside emergency exit footrest personal tv stowed inside seat,-0.3818,0.0,0.833,0.167
1161,budget airline seat pretty good mostly clean quite spacious aisle quite cramped though really squeeze newer plane get pocket store thing nice mostly clean tray table move easily power screen though make sure charge device,0.9517,0.404,0.596,0.0
1162,wife flew adelaide bali return may fly route jetstar airline direct flight average flying time around hour another airline recently started operating direct flight seat close together exit aircraft virtual knee rash seat incline minimal obviously dollar almighty feature aircraft disturbed seat positioned obstructed ease access wing emergency exit chicken meal pre purchased mediocre flavour mediocre presentation ugh put wife eating next time taking bread roll cannot criticise crew,-0.6998,0.062,0.801,0.136
1163,sat upfront seat supposed better one disappointed find hardly legroom right front despite redline floor passenger seated behind could seem keep aisle kept spilling seat space child treading armrest carried parent flight left late lot passenger stick allocated seat somehow made without boarding pas dirt noticeable everywhere even bright orange uniform cabin crew particularly noisy galley often felt bumping board front particularly bad term customer service however magazine seat although initially lucky head cabin crew snatched pocket without asking check price blanket rear seated le entitled passenger never returned even though never chance read,0.2755,0.118,0.784,0.098
